title,chap_num,para_num,sent_num,token_num,token_str
"Persuasion, by Jane Austen",1,1,0,0,Sir
"Persuasion, by Jane Austen",1,1,0,1,Walter
"Persuasion, by Jane Austen",1,1,0,2,Elliot
"Persuasion, by Jane Austen",1,1,0,3,of
"Persuasion, by Jane Austen",1,1,0,4,Kellynch
"Persuasion, by Jane Austen",1,1,0,5,Hall
"Persuasion, by Jane Austen",1,1,0,6,in
"Persuasion, by Jane Austen",1,1,0,7,Somersetshire
"Persuasion, by Jane Austen",1,1,0,8,was
"Persuasion, by Jane Austen",1,1,0,9,a
"Persuasion, by Jane Austen",1,1,0,10,man
"Persuasion, by Jane Austen",1,1,0,11,who
"Persuasion, by Jane Austen",1,1,0,12,for
"Persuasion, by Jane Austen",1,1,0,13,his
"Persuasion, by Jane Austen",1,1,0,14,own
"Persuasion, by Jane Austen",1,1,0,15,amusement
"Persuasion, by Jane Austen",1,1,0,16,never
"Persuasion, by Jane Austen",1,1,0,17,took
"Persuasion, by Jane Austen",1,1,0,18,up
"Persuasion, by Jane Austen",1,1,0,19,any
"Persuasion, by Jane Austen",1,1,0,20,book
"Persuasion, by Jane Austen",1,1,0,21,but
"Persuasion, by Jane Austen",1,1,0,22,the
"Persuasion, by Jane Austen",1,1,0,23,Baronetage
"Persuasion, by Jane Austen",1,1,1,0,
"Persuasion, by Jane Austen",1,1,1,1,there
"Persuasion, by Jane Austen",1,1,1,2,he
"Persuasion, by Jane Austen",1,1,1,3,found
"Persuasion, by Jane Austen",1,1,1,4,occupation
"Persuasion, by Jane Austen",1,1,1,5,for
"Persuasion, by Jane Austen",1,1,1,6,an
"Persuasion, by Jane Austen",1,1,1,7,idle
"Persuasion, by Jane Austen",1,1,1,8,hour
"Persuasion, by Jane Austen",1,1,1,9,and
"Persuasion, by Jane Austen",1,1,1,10,consolation
"Persuasion, by Jane Austen",1,1,1,11,in
"Persuasion, by Jane Austen",1,1,1,12,a
"Persuasion, by Jane Austen",1,1,1,13,distressed
"Persuasion, by Jane Austen",1,1,1,14,one
"Persuasion, by Jane Austen",1,1,2,0,
"Persuasion, by Jane Austen",1,1,2,1,there
"Persuasion, by Jane Austen",1,1,2,2,his
"Persuasion, by Jane Austen",1,1,2,3,faculties
"Persuasion, by Jane Austen",1,1,2,4,were
"Persuasion, by Jane Austen",1,1,2,5,roused
"Persuasion, by Jane Austen",1,1,2,6,into
"Persuasion, by Jane Austen",1,1,2,7,admiration
"Persuasion, by Jane Austen",1,1,2,8,and
"Persuasion, by Jane Austen",1,1,2,9,respect
"Persuasion, by Jane Austen",1,1,2,10,by
"Persuasion, by Jane Austen",1,1,2,11,contemplating
"Persuasion, by Jane Austen",1,1,2,12,the
"Persuasion, by Jane Austen",1,1,2,13,limited
"Persuasion, by Jane Austen",1,1,2,14,remnant
"Persuasion, by Jane Austen",1,1,2,15,of
"Persuasion, by Jane Austen",1,1,2,16,the
"Persuasion, by Jane Austen",1,1,2,17,earliest
"Persuasion, by Jane Austen",1,1,2,18,patents
"Persuasion, by Jane Austen",1,1,3,0,
"Persuasion, by Jane Austen",1,1,3,1,there
"Persuasion, by Jane Austen",1,1,3,2,any
"Persuasion, by Jane Austen",1,1,3,3,unwelcome
"Persuasion, by Jane Austen",1,1,3,4,sensations
"Persuasion, by Jane Austen",1,1,3,5,arising
"Persuasion, by Jane Austen",1,1,3,6,from
"Persuasion, by Jane Austen",1,1,3,7,domestic
"Persuasion, by Jane Austen",1,1,3,8,affairs
"Persuasion, by Jane Austen",1,1,3,9,changed
"Persuasion, by Jane Austen",1,1,3,10,naturally
"Persuasion, by Jane Austen",1,1,3,11,into
"Persuasion, by Jane Austen",1,1,3,12,pity
"Persuasion, by Jane Austen",1,1,3,13,and
"Persuasion, by Jane Austen",1,1,3,14,contempt
"Persuasion, by Jane Austen",1,1,3,15,as
"Persuasion, by Jane Austen",1,1,3,16,he
"Persuasion, by Jane Austen",1,1,3,17,turned
"Persuasion, by Jane Austen",1,1,3,18,over
"Persuasion, by Jane Austen",1,1,3,19,the
"Persuasion, by Jane Austen",1,1,3,20,almost
"Persuasion, by Jane Austen",1,1,3,21,endless
"Persuasion, by Jane Austen",1,1,3,22,creations
"Persuasion, by Jane Austen",1,1,3,23,of
"Persuasion, by Jane Austen",1,1,3,24,the
"Persuasion, by Jane Austen",1,1,3,25,last
"Persuasion, by Jane Austen",1,1,3,26,century
"Persuasion, by Jane Austen",1,1,4,0,
"Persuasion, by Jane Austen",1,1,4,1,and
"Persuasion, by Jane Austen",1,1,4,2,there
"Persuasion, by Jane Austen",1,1,4,3,if
"Persuasion, by Jane Austen",1,1,4,4,every
"Persuasion, by Jane Austen",1,1,4,5,other
"Persuasion, by Jane Austen",1,1,4,6,leaf
"Persuasion, by Jane Austen",1,1,4,7,were
"Persuasion, by Jane Austen",1,1,4,8,powerless
"Persuasion, by Jane Austen",1,1,4,9,he
"Persuasion, by Jane Austen",1,1,4,10,could
"Persuasion, by Jane Austen",1,1,4,11,read
"Persuasion, by Jane Austen",1,1,4,12,his
"Persuasion, by Jane Austen",1,1,4,13,own
"Persuasion, by Jane Austen",1,1,4,14,history
"Persuasion, by Jane Austen",1,1,4,15,with
"Persuasion, by Jane Austen",1,1,4,16,an
"Persuasion, by Jane Austen",1,1,4,17,interest
"Persuasion, by Jane Austen",1,1,4,18,which
"Persuasion, by Jane Austen",1,1,4,19,never
"Persuasion, by Jane Austen",1,1,4,20,failed
"Persuasion, by Jane Austen",1,1,5,0,
"Persuasion, by Jane Austen",1,1,5,1,This
"Persuasion, by Jane Austen",1,1,5,2,was
"Persuasion, by Jane Austen",1,1,5,3,the
"Persuasion, by Jane Austen",1,1,5,4,page
"Persuasion, by Jane Austen",1,1,5,5,at
"Persuasion, by Jane Austen",1,1,5,6,which
"Persuasion, by Jane Austen",1,1,5,7,the
"Persuasion, by Jane Austen",1,1,5,8,favourite
"Persuasion, by Jane Austen",1,1,5,9,volume
"Persuasion, by Jane Austen",1,1,5,10,always
"Persuasion, by Jane Austen",1,1,5,11,opened
"Persuasion, by Jane Austen",1,2,1,0,ELLIOT
"Persuasion, by Jane Austen",1,2,1,1,OF
"Persuasion, by Jane Austen",1,2,1,2,KELLYNCH
"Persuasion, by Jane Austen",1,2,1,3,HALL
"Persuasion, by Jane Austen",1,3,1,0,Walter
"Persuasion, by Jane Austen",1,3,1,1,Elliot
"Persuasion, by Jane Austen",1,3,1,2,born
"Persuasion, by Jane Austen",1,3,1,3,March
"Persuasion, by Jane Austen",1,3,1,4,1
"Persuasion, by Jane Austen",1,3,1,5,1760
"Persuasion, by Jane Austen",1,3,1,6,married
"Persuasion, by Jane Austen",1,3,1,7,July
"Persuasion, by Jane Austen",1,3,1,8,15
"Persuasion, by Jane Austen",1,3,1,9,1784
"Persuasion, by Jane Austen",1,3,1,10,Elizabeth
"Persuasion, by Jane Austen",1,3,1,11,daughter
"Persuasion, by Jane Austen",1,3,1,12,of
"Persuasion, by Jane Austen",1,3,1,13,James
"Persuasion, by Jane Austen",1,3,1,14,Stevenson
"Persuasion, by Jane Austen",1,3,1,15,Esq
"Persuasion, by Jane Austen",1,3,2,0,
"Persuasion, by Jane Austen",1,3,2,1,of
"Persuasion, by Jane Austen",1,3,2,2,South
"Persuasion, by Jane Austen",1,3,2,3,Park
"Persuasion, by Jane Austen",1,3,2,4,in
"Persuasion, by Jane Austen",1,3,2,5,the
"Persuasion, by Jane Austen",1,3,2,6,county
"Persuasion, by Jane Austen",1,3,2,7,of
"Persuasion, by Jane Austen",1,3,2,8,Gloucester
"Persuasion, by Jane Austen",1,3,2,9,by
"Persuasion, by Jane Austen",1,3,2,10,which
"Persuasion, by Jane Austen",1,3,2,11,lady
"Persuasion, by Jane Austen",1,3,2,12,(who
"Persuasion, by Jane Austen",1,3,2,13,died
"Persuasion, by Jane Austen",1,3,2,14,1800)
"Persuasion, by Jane Austen",1,3,2,15,he
"Persuasion, by Jane Austen",1,3,2,16,has
"Persuasion, by Jane Austen",1,3,2,17,issue
"Persuasion, by Jane Austen",1,3,2,18,Elizabeth
"Persuasion, by Jane Austen",1,3,2,19,born
"Persuasion, by Jane Austen",1,3,2,20,June
"Persuasion, by Jane Austen",1,3,2,21,1
"Persuasion, by Jane Austen",1,3,2,22,1785
"Persuasion, by Jane Austen",1,3,3,0,
"Persuasion, by Jane Austen",1,3,3,1,Anne
"Persuasion, by Jane Austen",1,3,3,2,born
"Persuasion, by Jane Austen",1,3,3,3,August
"Persuasion, by Jane Austen",1,3,3,4,9
"Persuasion, by Jane Austen",1,3,3,5,1787
"Persuasion, by Jane Austen",1,3,4,0,
"Persuasion, by Jane Austen",1,3,4,1,a
"Persuasion, by Jane Austen",1,3,4,2,still
"Persuasion, by Jane Austen",1,3,4,3,born
"Persuasion, by Jane Austen",1,3,4,4,son
"Persuasion, by Jane Austen",1,3,4,5,November
"Persuasion, by Jane Austen",1,3,4,6,5
"Persuasion, by Jane Austen",1,3,4,7,1789
"Persuasion, by Jane Austen",1,3,5,0,
"Persuasion, by Jane Austen",1,3,5,1,Mary
"Persuasion, by Jane Austen",1,3,5,2,born
"Persuasion, by Jane Austen",1,3,5,3,November
"Persuasion, by Jane Austen",1,3,5,4,20
"Persuasion, by Jane Austen",1,3,5,5,1791
"Persuasion, by Jane Austen",1,4,0,0,Precisely
"Persuasion, by Jane Austen",1,4,0,1,such
"Persuasion, by Jane Austen",1,4,0,2,had
"Persuasion, by Jane Austen",1,4,0,3,the
"Persuasion, by Jane Austen",1,4,0,4,paragraph
"Persuasion, by Jane Austen",1,4,0,5,originally
"Persuasion, by Jane Austen",1,4,0,6,stood
"Persuasion, by Jane Austen",1,4,0,7,from
"Persuasion, by Jane Austen",1,4,0,8,the
"Persuasion, by Jane Austen",1,4,0,9,printer
"Persuasion, by Jane Austen",1,4,0,10,s
"Persuasion, by Jane Austen",1,4,0,11,hands
"Persuasion, by Jane Austen",1,4,1,0,
"Persuasion, by Jane Austen",1,4,1,1,but
"Persuasion, by Jane Austen",1,4,1,2,Sir
"Persuasion, by Jane Austen",1,4,1,3,Walter
"Persuasion, by Jane Austen",1,4,1,4,had
"Persuasion, by Jane Austen",1,4,1,5,improved
"Persuasion, by Jane Austen",1,4,1,6,it
"Persuasion, by Jane Austen",1,4,1,7,by
"Persuasion, by Jane Austen",1,4,1,8,adding
"Persuasion, by Jane Austen",1,4,1,9,for
"Persuasion, by Jane Austen",1,4,1,10,the
"Persuasion, by Jane Austen",1,4,1,11,information
"Persuasion, by Jane Austen",1,4,1,12,of
"Persuasion, by Jane Austen",1,4,1,13,himself
"Persuasion, by Jane Austen",1,4,1,14,and
"Persuasion, by Jane Austen",1,4,1,15,his
"Persuasion, by Jane Austen",1,4,1,16,family
"Persuasion, by Jane Austen",1,4,1,17,these
"Persuasion, by Jane Austen",1,4,1,18,words
"Persuasion, by Jane Austen",1,4,1,19,after
"Persuasion, by Jane Austen",1,4,1,20,the
"Persuasion, by Jane Austen",1,4,1,21,date
"Persuasion, by Jane Austen",1,4,1,22,of
"Persuasion, by Jane Austen",1,4,1,23,Mary
"Persuasion, by Jane Austen",1,4,1,24,s
"Persuasion, by Jane Austen",1,4,1,25,birth
"Persuasion, by Jane Austen",1,4,1,26,
"Persuasion, by Jane Austen",1,4,2,0,Married
"Persuasion, by Jane Austen",1,4,2,1,December
"Persuasion, by Jane Austen",1,4,2,2,16
"Persuasion, by Jane Austen",1,4,2,3,1810
"Persuasion, by Jane Austen",1,4,2,4,Charles
"Persuasion, by Jane Austen",1,4,2,5,son
"Persuasion, by Jane Austen",1,4,2,6,and
"Persuasion, by Jane Austen",1,4,2,7,heir
"Persuasion, by Jane Austen",1,4,2,8,of
"Persuasion, by Jane Austen",1,4,2,9,Charles
"Persuasion, by Jane Austen",1,4,2,10,Musgrove
"Persuasion, by Jane Austen",1,4,2,11,Esq
"Persuasion, by Jane Austen",1,4,3,0,
"Persuasion, by Jane Austen",1,4,3,1,of
"Persuasion, by Jane Austen",1,4,3,2,Uppercross
"Persuasion, by Jane Austen",1,4,3,3,in
"Persuasion, by Jane Austen",1,4,3,4,the
"Persuasion, by Jane Austen",1,4,3,5,county
"Persuasion, by Jane Austen",1,4,3,6,of
"Persuasion, by Jane Austen",1,4,3,7,Somerset
"Persuasion, by Jane Austen",1,4,3,8,
"Persuasion, by Jane Austen",1,4,4,0,
"Persuasion, by Jane Austen",1,4,4,1,and
"Persuasion, by Jane Austen",1,4,4,2,by
"Persuasion, by Jane Austen",1,4,4,3,inserting
"Persuasion, by Jane Austen",1,4,4,4,most
"Persuasion, by Jane Austen",1,4,4,5,accurately
"Persuasion, by Jane Austen",1,4,4,6,the
"Persuasion, by Jane Austen",1,4,4,7,day
"Persuasion, by Jane Austen",1,4,4,8,of
"Persuasion, by Jane Austen",1,4,4,9,the
"Persuasion, by Jane Austen",1,4,4,10,month
"Persuasion, by Jane Austen",1,4,4,11,on
"Persuasion, by Jane Austen",1,4,4,12,which
"Persuasion, by Jane Austen",1,4,4,13,he
"Persuasion, by Jane Austen",1,4,4,14,had
"Persuasion, by Jane Austen",1,4,4,15,lost
"Persuasion, by Jane Austen",1,4,4,16,his
"Persuasion, by Jane Austen",1,4,4,17,wife
"Persuasion, by Jane Austen",1,5,0,0,Then
"Persuasion, by Jane Austen",1,5,0,1,followed
"Persuasion, by Jane Austen",1,5,0,2,the
"Persuasion, by Jane Austen",1,5,0,3,history
"Persuasion, by Jane Austen",1,5,0,4,and
"Persuasion, by Jane Austen",1,5,0,5,rise
"Persuasion, by Jane Austen",1,5,0,6,of
"Persuasion, by Jane Austen",1,5,0,7,the
"Persuasion, by Jane Austen",1,5,0,8,ancient
"Persuasion, by Jane Austen",1,5,0,9,and
"Persuasion, by Jane Austen",1,5,0,10,respectable
"Persuasion, by Jane Austen",1,5,0,11,family
"Persuasion, by Jane Austen",1,5,0,12,in
"Persuasion, by Jane Austen",1,5,0,13,the
"Persuasion, by Jane Austen",1,5,0,14,usual
"Persuasion, by Jane Austen",1,5,0,15,terms
"Persuasion, by Jane Austen",1,5,1,0,
"Persuasion, by Jane Austen",1,5,1,1,how
"Persuasion, by Jane Austen",1,5,1,2,it
"Persuasion, by Jane Austen",1,5,1,3,had
"Persuasion, by Jane Austen",1,5,1,4,been
"Persuasion, by Jane Austen",1,5,1,5,first
"Persuasion, by Jane Austen",1,5,1,6,settled
"Persuasion, by Jane Austen",1,5,1,7,in
"Persuasion, by Jane Austen",1,5,1,8,Cheshire
"Persuasion, by Jane Austen",1,5,2,0,
"Persuasion, by Jane Austen",1,5,2,1,how
"Persuasion, by Jane Austen",1,5,2,2,mentioned
"Persuasion, by Jane Austen",1,5,2,3,in
"Persuasion, by Jane Austen",1,5,2,4,Dugdale
"Persuasion, by Jane Austen",1,5,2,5,serving
"Persuasion, by Jane Austen",1,5,2,6,the
"Persuasion, by Jane Austen",1,5,2,7,office
"Persuasion, by Jane Austen",1,5,2,8,of
"Persuasion, by Jane Austen",1,5,2,9,high
"Persuasion, by Jane Austen",1,5,2,10,sheriff
"Persuasion, by Jane Austen",1,5,2,11,representing
"Persuasion, by Jane Austen",1,5,2,12,a
"Persuasion, by Jane Austen",1,5,2,13,borough
"Persuasion, by Jane Austen",1,5,2,14,in
"Persuasion, by Jane Austen",1,5,2,15,three
"Persuasion, by Jane Austen",1,5,2,16,successive
"Persuasion, by Jane Austen",1,5,2,17,parliaments
"Persuasion, by Jane Austen",1,5,2,18,exertions
"Persuasion, by Jane Austen",1,5,2,19,of
"Persuasion, by Jane Austen",1,5,2,20,loyalty
"Persuasion, by Jane Austen",1,5,2,21,and
"Persuasion, by Jane Austen",1,5,2,22,dignity
"Persuasion, by Jane Austen",1,5,2,23,of
"Persuasion, by Jane Austen",1,5,2,24,baronet
"Persuasion, by Jane Austen",1,5,2,25,in
"Persuasion, by Jane Austen",1,5,2,26,the
"Persuasion, by Jane Austen",1,5,2,27,first
"Persuasion, by Jane Austen",1,5,2,28,year
"Persuasion, by Jane Austen",1,5,2,29,of
"Persuasion, by Jane Austen",1,5,2,30,Charles
"Persuasion, by Jane Austen",1,5,2,31,II
"Persuasion, by Jane Austen",1,5,2,32,with
"Persuasion, by Jane Austen",1,5,2,33,all
"Persuasion, by Jane Austen",1,5,2,34,the
"Persuasion, by Jane Austen",1,5,2,35,Marys
"Persuasion, by Jane Austen",1,5,2,36,and
"Persuasion, by Jane Austen",1,5,2,37,Elizabeths
"Persuasion, by Jane Austen",1,5,2,38,they
"Persuasion, by Jane Austen",1,5,2,39,had
"Persuasion, by Jane Austen",1,5,2,40,married
"Persuasion, by Jane Austen",1,5,3,0,
"Persuasion, by Jane Austen",1,5,3,1,forming
"Persuasion, by Jane Austen",1,5,3,2,altogether
"Persuasion, by Jane Austen",1,5,3,3,two
"Persuasion, by Jane Austen",1,5,3,4,handsome
"Persuasion, by Jane Austen",1,5,3,5,duodecimo
"Persuasion, by Jane Austen",1,5,3,6,pages
"Persuasion, by Jane Austen",1,5,3,7,and
"Persuasion, by Jane Austen",1,5,3,8,concluding
"Persuasion, by Jane Austen",1,5,3,9,with
"Persuasion, by Jane Austen",1,5,3,10,the
"Persuasion, by Jane Austen",1,5,3,11,arms
"Persuasion, by Jane Austen",1,5,3,12,and
"Persuasion, by Jane Austen",1,5,3,13,motto
"Persuasion, by Jane Austen",1,5,4,0,
"Persuasion, by Jane Austen",1,5,4,1,
"Persuasion, by Jane Austen",1,5,5,0,Principal
"Persuasion, by Jane Austen",1,5,5,1,seat
"Persuasion, by Jane Austen",1,5,5,2,Kellynch
"Persuasion, by Jane Austen",1,5,5,3,Hall
"Persuasion, by Jane Austen",1,5,5,4,in
"Persuasion, by Jane Austen",1,5,5,5,the
"Persuasion, by Jane Austen",1,5,5,6,county
"Persuasion, by Jane Austen",1,5,5,7,of
"Persuasion, by Jane Austen",1,5,5,8,Somerset
"Persuasion, by Jane Austen",1,5,5,9,
"Persuasion, by Jane Austen",1,5,6,0,
"Persuasion, by Jane Austen",1,5,6,1,and
"Persuasion, by Jane Austen",1,5,6,2,Sir
"Persuasion, by Jane Austen",1,5,6,3,Walter
"Persuasion, by Jane Austen",1,5,6,4,s
"Persuasion, by Jane Austen",1,5,6,5,handwriting
"Persuasion, by Jane Austen",1,5,6,6,again
"Persuasion, by Jane Austen",1,5,6,7,in
"Persuasion, by Jane Austen",1,5,6,8,this
"Persuasion, by Jane Austen",1,5,6,9,finale
"Persuasion, by Jane Austen",1,5,7,0,
"Persuasion, by Jane Austen",1,5,7,1,
"Persuasion, by Jane Austen",1,6,1,0,Heir
"Persuasion, by Jane Austen",1,6,1,1,presumptive
"Persuasion, by Jane Austen",1,6,1,2,William
"Persuasion, by Jane Austen",1,6,1,3,Walter
"Persuasion, by Jane Austen",1,6,1,4,Elliot
"Persuasion, by Jane Austen",1,6,1,5,Esq
"Persuasion, by Jane Austen",1,6,2,0,
"Persuasion, by Jane Austen",1,6,2,1,great
"Persuasion, by Jane Austen",1,6,2,2,grandson
"Persuasion, by Jane Austen",1,6,2,3,of
"Persuasion, by Jane Austen",1,6,2,4,the
"Persuasion, by Jane Austen",1,6,2,5,second
"Persuasion, by Jane Austen",1,6,2,6,Sir
"Persuasion, by Jane Austen",1,6,2,7,Walter
"Persuasion, by Jane Austen",1,7,0,0,Vanity
"Persuasion, by Jane Austen",1,7,0,1,was
"Persuasion, by Jane Austen",1,7,0,2,the
"Persuasion, by Jane Austen",1,7,0,3,beginning
"Persuasion, by Jane Austen",1,7,0,4,and
"Persuasion, by Jane Austen",1,7,0,5,the
"Persuasion, by Jane Austen",1,7,0,6,end
"Persuasion, by Jane Austen",1,7,0,7,of
"Persuasion, by Jane Austen",1,7,0,8,Sir
"Persuasion, by Jane Austen",1,7,0,9,Walter
"Persuasion, by Jane Austen",1,7,0,10,Elliot
"Persuasion, by Jane Austen",1,7,0,11,s
"Persuasion, by Jane Austen",1,7,0,12,character
"Persuasion, by Jane Austen",1,7,1,0,
"Persuasion, by Jane Austen",1,7,1,1,vanity
"Persuasion, by Jane Austen",1,7,1,2,of
"Persuasion, by Jane Austen",1,7,1,3,person
"Persuasion, by Jane Austen",1,7,1,4,and
"Persuasion, by Jane Austen",1,7,1,5,of
"Persuasion, by Jane Austen",1,7,1,6,situation
"Persuasion, by Jane Austen",1,7,2,0,
"Persuasion, by Jane Austen",1,7,2,1,He
"Persuasion, by Jane Austen",1,7,2,2,had
"Persuasion, by Jane Austen",1,7,2,3,been
"Persuasion, by Jane Austen",1,7,2,4,remarkably
"Persuasion, by Jane Austen",1,7,2,5,handsome
"Persuasion, by Jane Austen",1,7,2,6,in
"Persuasion, by Jane Austen",1,7,2,7,his
"Persuasion, by Jane Austen",1,7,2,8,youth
"Persuasion, by Jane Austen",1,7,3,0,
"Persuasion, by Jane Austen",1,7,3,1,and
"Persuasion, by Jane Austen",1,7,3,2,at
"Persuasion, by Jane Austen",1,7,3,3,fifty
"Persuasion, by Jane Austen",1,7,3,4,four
"Persuasion, by Jane Austen",1,7,3,5,was
"Persuasion, by Jane Austen",1,7,3,6,still
"Persuasion, by Jane Austen",1,7,3,7,a
"Persuasion, by Jane Austen",1,7,3,8,very
"Persuasion, by Jane Austen",1,7,3,9,fine
"Persuasion, by Jane Austen",1,7,3,10,man
"Persuasion, by Jane Austen",1,7,4,0,
"Persuasion, by Jane Austen",1,7,4,1,Few
"Persuasion, by Jane Austen",1,7,4,2,women
"Persuasion, by Jane Austen",1,7,4,3,could
"Persuasion, by Jane Austen",1,7,4,4,think
"Persuasion, by Jane Austen",1,7,4,5,more
"Persuasion, by Jane Austen",1,7,4,6,of
"Persuasion, by Jane Austen",1,7,4,7,their
"Persuasion, by Jane Austen",1,7,4,8,personal
"Persuasion, by Jane Austen",1,7,4,9,appearance
"Persuasion, by Jane Austen",1,7,4,10,than
"Persuasion, by Jane Austen",1,7,4,11,he
"Persuasion, by Jane Austen",1,7,4,12,did
"Persuasion, by Jane Austen",1,7,4,13,nor
"Persuasion, by Jane Austen",1,7,4,14,could
"Persuasion, by Jane Austen",1,7,4,15,the
"Persuasion, by Jane Austen",1,7,4,16,valet
"Persuasion, by Jane Austen",1,7,4,17,of
"Persuasion, by Jane Austen",1,7,4,18,any
"Persuasion, by Jane Austen",1,7,4,19,new
"Persuasion, by Jane Austen",1,7,4,20,made
"Persuasion, by Jane Austen",1,7,4,21,lord
"Persuasion, by Jane Austen",1,7,4,22,be
"Persuasion, by Jane Austen",1,7,4,23,more
"Persuasion, by Jane Austen",1,7,4,24,delighted
"Persuasion, by Jane Austen",1,7,4,25,with
"Persuasion, by Jane Austen",1,7,4,26,the
"Persuasion, by Jane Austen",1,7,4,27,place
"Persuasion, by Jane Austen",1,7,4,28,he
"Persuasion, by Jane Austen",1,7,4,29,held
"Persuasion, by Jane Austen",1,7,4,30,in
"Persuasion, by Jane Austen",1,7,4,31,society
"Persuasion, by Jane Austen",1,7,5,0,
"Persuasion, by Jane Austen",1,7,5,1,He
"Persuasion, by Jane Austen",1,7,5,2,considered
"Persuasion, by Jane Austen",1,7,5,3,the
"Persuasion, by Jane Austen",1,7,5,4,blessing
"Persuasion, by Jane Austen",1,7,5,5,of
"Persuasion, by Jane Austen",1,7,5,6,beauty
"Persuasion, by Jane Austen",1,7,5,7,as
"Persuasion, by Jane Austen",1,7,5,8,inferior
"Persuasion, by Jane Austen",1,7,5,9,only
"Persuasion, by Jane Austen",1,7,5,10,to
"Persuasion, by Jane Austen",1,7,5,11,the
"Persuasion, by Jane Austen",1,7,5,12,blessing
"Persuasion, by Jane Austen",1,7,5,13,of
"Persuasion, by Jane Austen",1,7,5,14,a
"Persuasion, by Jane Austen",1,7,5,15,baronetcy
"Persuasion, by Jane Austen",1,7,6,0,
"Persuasion, by Jane Austen",1,7,6,1,and
"Persuasion, by Jane Austen",1,7,6,2,the
"Persuasion, by Jane Austen",1,7,6,3,Sir
"Persuasion, by Jane Austen",1,7,6,4,Walter
"Persuasion, by Jane Austen",1,7,6,5,Elliot
"Persuasion, by Jane Austen",1,7,6,6,who
"Persuasion, by Jane Austen",1,7,6,7,united
"Persuasion, by Jane Austen",1,7,6,8,these
"Persuasion, by Jane Austen",1,7,6,9,gifts
"Persuasion, by Jane Austen",1,7,6,10,was
"Persuasion, by Jane Austen",1,7,6,11,the
"Persuasion, by Jane Austen",1,7,6,12,constant
"Persuasion, by Jane Austen",1,7,6,13,object
"Persuasion, by Jane Austen",1,7,6,14,of
"Persuasion, by Jane Austen",1,7,6,15,his
"Persuasion, by Jane Austen",1,7,6,16,warmest
"Persuasion, by Jane Austen",1,7,6,17,respect
"Persuasion, by Jane Austen",1,7,6,18,and
"Persuasion, by Jane Austen",1,7,6,19,devotion
"Persuasion, by Jane Austen",1,8,0,0,His
"Persuasion, by Jane Austen",1,8,0,1,good
"Persuasion, by Jane Austen",1,8,0,2,looks
"Persuasion, by Jane Austen",1,8,0,3,and
"Persuasion, by Jane Austen",1,8,0,4,his
"Persuasion, by Jane Austen",1,8,0,5,rank
"Persuasion, by Jane Austen",1,8,0,6,had
"Persuasion, by Jane Austen",1,8,0,7,one
"Persuasion, by Jane Austen",1,8,0,8,fair
"Persuasion, by Jane Austen",1,8,0,9,claim
"Persuasion, by Jane Austen",1,8,0,10,on
"Persuasion, by Jane Austen",1,8,0,11,his
"Persuasion, by Jane Austen",1,8,0,12,attachment
"Persuasion, by Jane Austen",1,8,1,0,
"Persuasion, by Jane Austen",1,8,1,1,since
"Persuasion, by Jane Austen",1,8,1,2,to
"Persuasion, by Jane Austen",1,8,1,3,them
"Persuasion, by Jane Austen",1,8,1,4,he
"Persuasion, by Jane Austen",1,8,1,5,must
"Persuasion, by Jane Austen",1,8,1,6,have
"Persuasion, by Jane Austen",1,8,1,7,owed
"Persuasion, by Jane Austen",1,8,1,8,a
"Persuasion, by Jane Austen",1,8,1,9,wife
"Persuasion, by Jane Austen",1,8,1,10,of
"Persuasion, by Jane Austen",1,8,1,11,very
"Persuasion, by Jane Austen",1,8,1,12,superior
"Persuasion, by Jane Austen",1,8,1,13,character
"Persuasion, by Jane Austen",1,8,1,14,to
"Persuasion, by Jane Austen",1,8,1,15,any
"Persuasion, by Jane Austen",1,8,1,16,thing
"Persuasion, by Jane Austen",1,8,1,17,deserved
"Persuasion, by Jane Austen",1,8,1,18,by
"Persuasion, by Jane Austen",1,8,1,19,his
"Persuasion, by Jane Austen",1,8,1,20,own
"Persuasion, by Jane Austen",1,8,2,0,
"Persuasion, by Jane Austen",1,8,2,1,Lady
"Persuasion, by Jane Austen",1,8,2,2,Elliot
"Persuasion, by Jane Austen",1,8,2,3,had
"Persuasion, by Jane Austen",1,8,2,4,been
"Persuasion, by Jane Austen",1,8,2,5,an
"Persuasion, by Jane Austen",1,8,2,6,excellent
"Persuasion, by Jane Austen",1,8,2,7,woman
"Persuasion, by Jane Austen",1,8,2,8,sensible
"Persuasion, by Jane Austen",1,8,2,9,and
"Persuasion, by Jane Austen",1,8,2,10,amiable
"Persuasion, by Jane Austen",1,8,3,0,
"Persuasion, by Jane Austen",1,8,3,1,whose
"Persuasion, by Jane Austen",1,8,3,2,judgement
"Persuasion, by Jane Austen",1,8,3,3,and
"Persuasion, by Jane Austen",1,8,3,4,conduct
"Persuasion, by Jane Austen",1,8,3,5,if
"Persuasion, by Jane Austen",1,8,3,6,they
"Persuasion, by Jane Austen",1,8,3,7,might
"Persuasion, by Jane Austen",1,8,3,8,be
"Persuasion, by Jane Austen",1,8,3,9,pardoned
"Persuasion, by Jane Austen",1,8,3,10,the
"Persuasion, by Jane Austen",1,8,3,11,youthful
"Persuasion, by Jane Austen",1,8,3,12,infatuation
"Persuasion, by Jane Austen",1,8,3,13,which
"Persuasion, by Jane Austen",1,8,3,14,made
